165,20,Car,Ess
166,20,Bri,Wes
166,20,Wes,Bri
167,20,Nor,Col
167,20,Col,Nor
168,20,Fre,Gol
168,20,Gol,Fre
169,20,StK,WCE
169,20,WCE,StK
170,20,Ric,Haw
170,20,Haw,Ric
171,20,Ade,Por
171,20,Por,Ade
172,21,Wes,Gre
172,21,Gre,Wes
173,21,Syd,Fre
173,21,Fre,Syd
174,21,Gee,Ric
174,21,Ric,Gee
175,21,Bri,Gol
175,21,Gol,Bri
176,21,Ess,Ade
176,21,Ade,Ess
177,21,WCE,Car
177,21,Car,WCE
178,21,Mel,StK
178,21,StK,Mel
179,21,Haw,Nor
179,21,Nor,Haw
180,21,Por,Col
180,21,Col,Por
181,22,Ade,Syd
181,22,Syd,Ade
182,22,Wes,Por
182,22,Por,Wes
183,22,Col,Gee
183,22,Gee,Col
184,22,Gre,WCE
184,22,WCE,Gre
185,22,Ess,Gol
185,22,Gol,Ess
186,22,Car,Haw
186,22,Haw,Car
187,22,Mel,Bri
187,22,Bri,Mel
188,22,StK,Nor
188,22,Nor,StK
189,22,Fre,Ric
189,22,Ric,Fre
190,23,Nor,Bri
190,23,Bri,Nor
191,23,Mel,Col
191,23,Col,Mel
192,23,Fre,Ess
192,23,Ess,Fre
193,23,Gre,Gee
193,23,Gee,Gre
194,23,Wes,Haw
194,23,Haw,Wes
195,23,Gol,Por
195,23,Por,Gol
196,23,StK,Ric
196,23,Ric,StK
197,23,Car,Syd
197,23,Syd,Car
198,23,Ade,WCE
198,23,WCE,Ade
